"familia","especie","petalas"
"Euphorbiaceae","Euphorbia peperomioides",0
"Phyllanthaceae","Phyllanthus oxyphyllus",5
"Passifloraceae","Adenia spinosa",5
"Salicaceae","Salix pentandra",0
"Begoniaceae","Begonia manhaoensis",4
"Rosaceae","Potentilla acaulis",5
"Rhamnaceae","Cryptandra dielsii",5
"Fabaceae","Medicago edgeworthii",5
"Fabaceae","Pseudarthria hookeri",5
"Fabaceae","Derris piscatoria",5
"Fabaceae","Galactia regularis",5
"Fabaceae","Hoffmannseggia humilis",5
"Zygophyllaceae","Tetraena longistipulata",5
"Brassicaceae","Octoceras lehmannianum",4
"Anacardiaceae","Rhus ovata",5
"Burseraceae","Canarium littorale",5
"Rutaceae","Melicope lasioneura",5
"Myrtaceae","Eucalyptus pilligaensis",5
"Boraginaceae","Pulmonaria officinalis",5
"Rubiaceae","Pentanisia veronicoides",4
"Apocynaceae","Orbea albocastanea",5
"Solanaceae","Solanum americanum",5
"Asteraceae","Liatris elegantula",5
"Asteraceae","Encelia frutescens",5
"Asteraceae","Castroviejoa montelinasana",5
"Campanulaceae","Campanula pyramidalis",5
"Viburnaceae","Viburnum sempervirens",5
"Aquifoliaceae","Ilex dimorphophylla",4
"Hydrangeaceae","Hydrangea glabripes",4
"Aizoaceae","Cerochlamys pachyphylla",5
"Cactaceae","Opuntia pachyrrhiza",5
"Caryophyllaceae","Acanthophyllum caespitosum",5
"Santalaceae","Exocarpos sparteus",5
"Dilleniaceae","Davilla pedicellaris",5
"Proteaceae","Banksia pteridifolia",4
"Proteaceae","Protea scolopendriifolia",4
"Ranunculaceae","Aconitum piepunense",4
"Berberidaceae","Dysosma pleiantha",3
"Poaceae","Melica nutans",3
"Restionaceae","Elegia galpinii",3
"Restionaceae","Apodasmia chilensis",3
"Eriocaulaceae","Comanthera nitida",3
"Xyridaceae","Xyris jupicai",3
"Cyperaceae","Carex vesicaria",3
"Orchidaceae","Eriochilus cucullatus",3
"Orchidaceae","Maxillaria meleagris",3
"Orchidaceae","Orthochilus milnei",3
"Orchidaceae","Pleurothallis castellensis",3
"Orchidaceae","Specklinia remotiflora",3
"Orchidaceae","Cephalanthera rubra",3
